,gender,age,zodiac_sign,profession,junior_programmer_salary,senior_programmer_salary
1307,Mujer,38,Libra,Programador,24000.0,61000.0
1308,Hombre,42,Leo,Ingeniero,63000.0,144000.0
1309,Hombre,31,Cáncer,Profesor,59000.0,107000.0
1310,Hombre,37,Tauro,Físico,70000.0,167000.0
1311,Mujer,42,Sagitario,Contador,21000.0,103000.0
1312,Hombre,39,Capricornio,Estudiante,63000.0,193000.0
1313,Mujer,38,Virgo,Ingeniero,46000.0,104000.0
1314,Hombre,40,Picis,Profesor,63000.0,142000.0
1315,Hombre,45,Sagitario,Ingeniero,83000.0,133000.0
1316,Hombre,38,Aries,Matemático,62000.0,126000.0
1317,Prefiero no decirlo,34,Acuario,Programador,38000.0,69000.0
1318,Hombre,37,Virgo,Programador,78000.0,119000.0
1319,Prefiero no decirlo,37,Sagitario,Programador,34000.0,69000.0
1320,Hombre,37,Picis,Estudiante,75000.0,150000.0
1321,Mujer,38,Virgo,Programador,18000.0,45000.0
1322,Mujer,30,Capricornio,Profesor,21000.0,87000.0
1323,Mujer,34,Acuario,Profesor,24000.0,49000.0
1324,Hombre,41,Géminis,Profesor,81000.0,160000.0
1325,Hombre,38,Sagitario,Estudiante,72000.0,120000.0
1326,Otro,31,Picis,Programador,56000.0,58000.0
1327,Mujer,44,Géminis,Economista,29000.0,146000.0
1328,Mujer,32,Leo,Contador,22000.0,46000.0
1329,Hombre,44,Picis,Estudiante,68000.0,144000.0
1330,Mujer,41,Escorpio,Programador,22000.0,138000.0
1331,Hombre,34,Leo,Programador,88000.0,90000.0
1332,Prefiero no decirlo,33,Capricornio,Programador,42000.0,64000.0
1333,Hombre,39,Géminis,Programador,71000.0,105000.0
1334,Hombre,49,Tauro,Programador,64000.0,86000.0
1335,Hombre,44,Capricornio,Programador,52000.0,130000.0
1336,Hombre,34,Cáncer,Ingeniero,97000.0,148000.0
1337,Hombre,44,Leo,Contador,70000.0,121000.0
1338,Mujer,29,Aries,Programador,30000.0,104000.0
1339,Mujer,41,Capricornio,Profesor,42000.0,55000.0
1340,Mujer,39,Escorpio,Matemático,21000.0,82000.0
1341,Hombre,43,Capricornio,Programador,88000.0,142000.0
1342,Hombre,45,Cáncer,Programador,79000.0,232000.0
1343,Hombre,52,Sagitario,Programador,58000.0,97000.0
1344,Hombre,25,Libra,Economista,79000.0,117000.0
1345,Hombre,34,Cáncer,Profesor,85000.0,132000.0
1346,Mujer,45,Aries,Programador,35000.0,77000.0
1347,Hombre,44,Capricornio,Economista,63000.0,100000.0
1348,Hombre,44,Géminis,Ingeniero,71000.0,210000.0
1349,Hombre,27,Géminis,Físico,63000.0,147000.0
1350,Mujer,47,Cáncer,Programador,27000.0,82000.0
1351,Mujer,38,Sagitario,Profesor,24000.0,73000.0
1352,Hombre,50,Libra,Programador,77000.0,160000.0
1353,Hombre,39,Escorpio,Programador,90000.0,149000.0
1354,Hombre,42,Aries,Programador,77000.0,139000.0
1355,Mujer,44,Sagitario,Programador,32000.0,72000.0
1356,Mujer,38,Picis,Maestro,20000.0,69000.0
1357,Hombre,28,Virgo,Programador,88000.0,95000.0
1358,Hombre,42,Cáncer,Programador,79000.0,184000.0
1359,Hombre,39,Sagitario,Profesor,86000.0,151000.0
1360,Hombre,44,Sagitario,Programador,78000.0,138000.0
1361,Hombre,39,Virgo,Profesor,69000.0,116000.0
1362,Mujer,41,Picis,Ingeniero,22000.0,62000.0
1363,Hombre,41,Capricornio,Economista,99000.0,129000.0
1364,Hombre,38,Tauro,Programador,79000.0,142000.0
1365,Hombre,33,Leo,Ingeniero,95000.0,173000.0
1366,Otro,33,Picis,Ingeniero,32000.0,82000.0
1367,Mujer,43,Capricornio,Matemático,35000.0,41000.0
1368,Hombre,39,Géminis,Programador,51000.0,73000.0
1369,Hombre,33,Cáncer,Programador,108000.0,134000.0
1370,Hombre,48,Sagitario,Programador,77000.0,95000.0
1371,Hombre,45,Escorpio,Programador,59000.0,126000.0
1372,Hombre,32,Picis,Programador,99000.0,182000.0
1373,Mujer,44,Sagitario,Economista,19000.0,57000.0
1374,Mujer,34,Escorpio,Ingeniero,29000.0,93000.0
1375,Hombre,32,Sagitario,Matemático,106000.0,90000.0
1376,Mujer,36,Picis,Programador,39000.0,83000.0
1377,Hombre,36,Géminis,Físico,95000.0,139000.0
1378,Mujer,34,Tauro,Programador,21000.0,68000.0
1379,Mujer,39,Libra,Economista,19000.0,130000.0
1380,Hombre,40,Aries,Ingeniero,55000.0,134000.0
1381,Mujer,35,Leo,Profesor,16000.0,54000.0
1382,Hombre,39,Géminis,Físico,63000.0,174000.0
1383,Hombre,37,Virgo,Profesor,57000.0,84000.0
1384,Hombre,31,Acuario,Ingeniero,61000.0,120000.0
1385,Hombre,39,Géminis,Ingeniero,72000.0,157000.0
1386,Hombre,35,Picis,Programador,66000.0,143000.0
1387,Mujer,41,Cáncer,Profesor,26000.0,46000.0
1388,Mujer,36,Virgo,Físico,26000.0,98000.0
1389,Mujer,37,Escorpio,Programador,29000.0,88000.0
1390,Mujer,36,Géminis,Profesor,18000.0,79000.0
1391,Hombre,33,Capricornio,Programador,79000.0,123000.0
1392,Mujer,37,Libra,Programador,11000.0,77000.0
1393,Otro,29,Acuario,Programador,25000.0,104000.0
1394,Prefiero no decirlo,42,Cáncer,Ingeniero,30000.0,122000.0
1395,Hombre,31,Géminis,Profesor,74000.0,216000.0
1396,Hombre,38,Escorpio,Matemático,61000.0,141000.0
1397,Prefiero no decirlo,45,Géminis,Programador,32000.0,84000.0
1398,Hombre,41,Aries,Maestro,94000.0,166000.0
1399,Hombre,39,Cáncer,Ingeniero,62000.0,215000.0
1400,Mujer,32,Cáncer,Ingeniero,16000.0,78000.0
1401,Hombre,41,Géminis,Programador,58000.0,191000.0
1402,Mujer,40,Libra,Programador,33000.0,69000.0
1403,Hombre,29,Tauro,Ingeniero,134000.0,126000.0
1404,Prefiero no decirlo,45,Acuario,Profesor,29000.0,67000.0
1405,Hombre,44,Leo,Matemático,112000.0,261000.0
1406,Mujer,45,Cáncer,Físico,44000.0,60000.0
1407,Mujer,39,Libra,Contador,27000.0,83000.0
1408,Hombre,47,Géminis,Programador,76000.0,105000.0
1409,Hombre,42,Escorpio,Ingeniero,53000.0,113000.0
1410,Mujer,36,Aries,Programador,38000.0,92000.0
1411,Hombre,38,Tauro,Programador,67000.0,202000.0
1412,Hombre,39,Cáncer,Estudiante,58000.0,138000.0
1413,Mujer,37,Géminis,Programador,28000.0,31000.0
1414,Mujer,48,Aries,Programador,32000.0,72000.0
1415,Mujer,38,Tauro,Ingeniero,24000.0,59000.0
1416,Mujer,38,Escorpio,Programador,20000.0,39000.0
1417,Mujer,39,Virgo,Programador,28000.0,37000.0
1418,Mujer,48,Virgo,Programador,31000.0,44000.0
1419,Hombre,44,Leo,Profesor,64000.0,121000.0
1420,Mujer,40,Libra,Programador,19000.0,60000.0
1421,Mujer,38,Tauro,Ingeniero,16000.0,81000.0
1422,Mujer,38,Cáncer,Programador,28000.0,56000.0
1423,Mujer,37,Cáncer,Ingeniero,37000.0,75000.0
1424,Mujer,44,Leo,Programador,27000.0,107000.0
1425,Mujer,37,Cáncer,Profesor,25000.0,71000.0
1426,Hombre,36,Cáncer,Programador,78000.0,141000.0
1427,Prefiero no decirlo,39,Géminis,Profesor,28000.0,69000.0
1428,Hombre,38,Leo,Ingeniero,72000.0,135000.0
1429,Hombre,32,Picis,Programador,81000.0,72000.0
1430,Hombre,36,Cáncer,Ingeniero,63000.0,158000.0
1431,Mujer,42,Cáncer,Ingeniero,38000.0,48000.0
1432,Hombre,33,Tauro,Programador,87000.0,222000.0
1433,Mujer,43,Cáncer,Programador,32000.0,79000.0
1434,Hombre,41,Virgo,Ingeniero,73000.0,134000.0
1435,Hombre,47,Tauro,Programador,92000.0,124000.0
1436,Hombre,42,Cáncer,Físico,81000.0,139000.0
1437,Hombre,36,Escorpio,Ingeniero,80000.0,101000.0
1438,Hombre,37,Leo,Programador,69000.0,120000.0
1439,Hombre,38,Escorpio,Maestro,74000.0,102000.0
1440,Hombre,36,Géminis,Programador,73000.0,114000.0
1441,Mujer,42,Tauro,Ingeniero,37000.0,47000.0
1442,Hombre,40,Virgo,Programador,85000.0,110000.0
1443,Hombre,34,Géminis,Programador,72000.0,177000.0
1444,Mujer,33,Libra,Programador,40000.0,111000.0
1445,Mujer,38,Capricornio,Programador,35000.0,51000.0
1446,Hombre,35,Libra,Ingeniero,84000.0,147000.0
1447,Hombre,48,Leo,Programador,94000.0,144000.0
1448,Hombre,35,Virgo,Programador,79000.0,203000.0
1449,Hombre,47,Picis,Matemático,71000.0,96000.0
1450,Hombre,41,Picis,Programador,81000.0,159000.0
1451,Hombre,46,Cáncer,Físico,87000.0,163000.0
1452,Hombre,42,Libra,Profesor,76000.0,124000.0
1453,Hombre,45,Escorpio,Programador,105000.0,135000.0
1454,Mujer,33,Géminis,Matemático,17000.0,124000.0
1455,Hombre,32,Cáncer,Programador,71000.0,116000.0
1456,Hombre,42,Escorpio,Ingeniero,55000.0,125000.0
1457,Hombre,34,Sagitario,Ingeniero,54000.0,113000.0
1458,Hombre,43,Escorpio,Profesor,80000.0,208000.0
1459,Mujer,42,Escorpio,Contador,14000.0,58000.0
1460,Prefiero no decirlo,39,Virgo,Físico,28000.0,53000.0
1461,Hombre,43,Géminis,Estudiante,80000.0,144000.0
1462,Hombre,36,Cáncer,Matemático,72000.0,126000.0
1463,Hombre,44,Géminis,Matemático,69000.0,139000.0
1464,Hombre,35,Géminis,Profesor,86000.0,84000.0
1465,Hombre,46,Escorpio,Economista,99000.0,134000.0
1466,Mujer,41,Tauro,Físico,23000.0,70000.0
1467,Mujer,27,Virgo,Maestro,32000.0,32000.0
1468,Hombre,32,Virgo,Matemático,63000.0,129000.0
1469,Hombre,40,Capricornio,Programador,81000.0,103000.0
1470,Mujer,47,Virgo,Programador,32000.0,72000.0
1471,Hombre,36,Tauro,Ingeniero,90000.0,188000.0
1472,Hombre,43,Cáncer,Profesor,89000.0,115000.0
1473,Hombre,44,Sagitario,Programador,76000.0,159000.0
1474,Mujer,43,Capricornio,Estudiante,27000.0,62000.0
1475,Hombre,33,Sagitario,Programador,88000.0,156000.0
1476,Hombre,45,Tauro,Programador,58000.0,151000.0
1477,Mujer,30,Picis,Programador,25000.0,77000.0
1478,Hombre,43,Géminis,Programador,79000.0,108000.0
1479,Hombre,34,Aries,Profesor,46000.0,106000.0
1480,Mujer,38,Leo,Profesor,29000.0,95000.0
1481,Mujer,43,Picis,Ingeniero,23000.0,53000.0
1482,Mujer,46,Aries,Ingeniero,12000.0,94000.0
1483,Otro,40,Cáncer,Programador,22000.0,105000.0
1484,Hombre,42,Virgo,Profesor,59000.0,137000.0
1485,Otro,40,Picis,Programador,17000.0,86000.0
1486,Hombre,32,Virgo,Profesor,54000.0,107000.0
1487,Hombre,38,Libra,Ingeniero,91000.0,111000.0
1488,Hombre,44,Libra,Ingeniero,74000.0,133000.0
1489,Hombre,37,Cáncer,Estudiante,57000.0,79000.0
1490,Hombre,42,Acuario,Programador,57000.0,112000.0
1491,Hombre,32,Capricornio,Profesor,78000.0,174000.0
1492,Hombre,41,Virgo,Físico,67000.0,141000.0
1493,Hombre,35,Picis,Maestro,99000.0,77000.0
1494,Prefiero no decirlo,43,Leo,Profesor,24000.0,78000.0
1495,Mujer,36,Acuario,Profesor,22000.0,47000.0
1496,Mujer,42,Acuario,Profesor,17000.0,75000.0
1497,Mujer,36,Libra,Programador,22000.0,68000.0
1498,Mujer,49,Libra,Programador,33000.0,84000.0
1499,Mujer,40,Cáncer,Contador,24000.0,44000.0
1500,Hombre,53,Libra,Ingeniero,83000.0,103000.0
1501,Hombre,44,Capricornio,Ingeniero,69000.0,81000.0
1502,Mujer,33,Géminis,Contador,37000.0,101000.0
1503,Hombre,42,Virgo,Físico,76000.0,122000.0
1504,Hombre,32,Aries,Ingeniero,72000.0,184000.0
1505,Hombre,42,Libra,Físico,88000.0,105000.0
1506,Hombre,39,Acuario,Programador,90000.0,157000.0
1507,Hombre,30,Picis,Ingeniero,80000.0,132000.0
1508,Prefiero no decirlo,42,Virgo,Programador,28000.0,81000.0
1509,Hombre,33,Escorpio,Ingeniero,78000.0,121000.0
1510,Mujer,35,Tauro,Ingeniero,15000.0,103000.0
1511,Mujer,37,Escorpio,Contador,41000.0,115000.0
1512,Hombre,39,Virgo,Ingeniero,97000.0,169000.0
1513,Hombre,44,Escorpio,Ingeniero,86000.0,109000.0
1514,Hombre,39,Cáncer,Ingeniero,62000.0,120000.0
1515,Hombre,43,Acuario,Programador,82000.0,141000.0
1516,Hombre,37,Virgo,Contador,77000.0,105000.0
1517,Hombre,45,Tauro,Profesor,55000.0,123000.0
1518,Mujer,38,Picis,Contador,34000.0,62000.0
1519,Prefiero no decirlo,45,Escorpio,Programador,28000.0,97000.0
1520,Hombre,44,Sagitario,Contador,57000.0,145000.0
1521,Hombre,36,Sagitario,Ingeniero,51000.0,105000.0
1522,Hombre,31,Escorpio,Profesor,62000.0,167000.0
1523,Hombre,35,Géminis,Profesor,77000.0,98000.0
1524,Hombre,42,Libra,Ingeniero,79000.0,182000.0
1525,Hombre,33,Leo,Programador,76000.0,193000.0
1526,Mujer,39,Tauro,Programador,37000.0,92000.0
1527,Hombre,42,Géminis,Estudiante,98000.0,137000.0
1528,Hombre,36,Géminis,Programador,66000.0,173000.0
1529,Hombre,35,Escorpio,Ingeniero,63000.0,148000.0
1530,Mujer,39,Virgo,Programador,32000.0,109000.0
1531,Prefiero no decirlo,38,Tauro,Programador,27000.0,69000.0
1532,Hombre,46,Libra,Programador,104000.0,107000.0
1533,Mujer,44,Acuario,Programador,19000.0,50000.0
1534,Hombre,43,Acuario,Profesor,69000.0,113000.0
1535,Hombre,39,Capricornio,Programador,59000.0,95000.0
1536,Hombre,42,Sagitario,Estudiante,73000.0,152000.0
1537,Hombre,35,Libra,Ingeniero,66000.0,149000.0
1538,Hombre,32,Sagitario,Maestro,113000.0,131000.0
1539,Mujer,37,Libra,Programador,33000.0,30000.0
1540,Hombre,37,Acuario,Programador,56000.0,174000.0
1541,Hombre,37,Sagitario,Matemático,80000.0,135000.0
1542,Mujer,39,Acuario,Contador,28000.0,81000.0
1543,Mujer,41,Géminis,Programador,25000.0,114000.0
1544,Hombre,33,Acuario,Programador,64000.0,136000.0
1545,Mujer,49,Géminis,Estudiante,23000.0,66000.0
1546,Hombre,42,Aries,Profesor,70000.0,109000.0
1547,Hombre,43,Tauro,Programador,58000.0,93000.0
1548,Mujer,40,Virgo,Matemático,28000.0,67000.0
1549,Hombre,37,Picis,Ingeniero,69000.0,106000.0
1550,Hombre,44,Capricornio,Programador,67000.0,159000.0
1551,Prefiero no decirlo,32,Sagitario,Programador,27000.0,77000.0
1552,Hombre,51,Sagitario,Estudiante,70000.0,123000.0
1553,Hombre,33,Aries,Estudiante,86000.0,103000.0
1554,Mujer,48,Aries,Ingeniero,36000.0,114000.0
1555,Hombre,42,Escorpio,Ingeniero,48000.0,144000.0
1556,Mujer,36,Picis,Ingeniero,17000.0,73000.0
1557,Hombre,30,Tauro,Ingeniero,82000.0,201000.0
1558,Hombre,39,Tauro,Programador,96000.0,130000.0
1559,Otro,40,Virgo,Físico,27000.0,99000.0
1560,Hombre,39,Acuario,Matemático,57000.0,182000.0
1561,Hombre,31,Libra,Ingeniero,63000.0,132000.0
1562,Mujer,42,Escorpio,Ingeniero,52000.0,104000.0
1563,Hombre,35,Virgo,Físico,77000.0,76000.0
1564,Hombre,41,Leo,Profesor,79000.0,114000.0
1565,Mujer,37,Tauro,Programador,24000.0,66000.0
1566,Mujer,42,Cáncer,Matemático,37000.0,140000.0
1567,Mujer,44,Aries,Contador,30000.0,79000.0
1568,Hombre,41,Escorpio,Economista,66000.0,122000.0
1569,Hombre,42,Géminis,Profesor,65000.0,76000.0
1570,Hombre,43,Géminis,Programador,121000.0,146000.0
1571,Hombre,37,Picis,Programador,77000.0,132000.0
1572,Mujer,43,Sagitario,Matemático,18000.0,55000.0
1573,Mujer,37,Sagitario,Profesor,31000.0,86000.0
1574,Mujer,41,Aries,Programador,32000.0,76000.0
1575,Mujer,52,Aries,Programador,52000.0,104000.0
1576,Mujer,30,Leo,Ingeniero,16000.0,102000.0
1577,Hombre,46,Leo,Programador,87000.0,135000.0
1578,Hombre,38,Sagitario,Programador,65000.0,125000.0
1579,Hombre,31,Sagitario,Programador,69000.0,149000.0
1580,Hombre,41,Picis,Matemático,67000.0,185000.0
1581,Hombre,35,Virgo,Programador,66000.0,153000.0
1582,Hombre,49,Aries,Programador,85000.0,122000.0
1583,Prefiero no decirlo,42,Leo,Ingeniero,26000.0,59000.0
1584,Hombre,43,Aries,Profesor,53000.0,192000.0
1585,Hombre,41,Aries,Maestro,68000.0,160000.0
1586,Hombre,38,Cáncer,Físico,75000.0,153000.0
1587,Mujer,40,Tauro,Maestro,29000.0,31000.0
1588,Prefiero no decirlo,35,Sagitario,Maestro,38000.0,65000.0
1589,Mujer,43,Acuario,Contador,21000.0,122000.0
1590,Hombre,50,Tauro,Profesor,74000.0,126000.0
1591,Hombre,33,Libra,Ingeniero,58000.0,74000.0
1592,Hombre,42,Cáncer,Ingeniero,98000.0,126000.0
1593,Mujer,35,Tauro,Profesor,58000.0,63000.0
1594,Mujer,39,Libra,Ingeniero,28000.0,51000.0
1595,Hombre,43,Libra,Programador,54000.0,184000.0
1596,Hombre,45,Virgo,Ingeniero,66000.0,122000.0
1597,Hombre,41,Virgo,Programador,71000.0,142000.0
1598,Hombre,39,Escorpio,Profesor,104000.0,156000.0
1599,Mujer,28,Tauro,Físico,29000.0,56000.0
1600,Hombre,38,Leo,Programador,72000.0,109000.0
1601,Hombre,37,Tauro,Ingeniero,66000.0,147000.0
1602,Mujer,44,Capricornio,Ingeniero,19000.0,83000.0
1603,Hombre,40,Géminis,Ingeniero,91000.0,126000.0
1604,Prefiero no decirlo,43,Tauro,Estudiante,35000.0,92000.0
1605,Mujer,39,Libra,Profesor,25000.0,53000.0
1606,Hombre,40,Escorpio,Ingeniero,53000.0,82000.0
1607,Mujer,43,Picis,Contador,24000.0,127000.0
1608,Hombre,30,Escorpio,Maestro,64000.0,81000.0
1609,Hombre,38,Leo,Ingeniero,78000.0,123000.0
1610,Hombre,44,Picis,Profesor,55000.0,110000.0
1611,Hombre,43,Capricornio,Ingeniero,82000.0,156000.0
1612,Hombre,43,Sagitario,Programador,93000.0,139000.0
1613,Hombre,42,Escorpio,Programador,64000.0,101000.0
1614,Hombre,38,Virgo,Profesor,72000.0,165000.0
1615,Hombre,36,Cáncer,Profesor,80000.0,133000.0
1616,Hombre,42,Picis,Ingeniero,77000.0,101000.0
1617,Mujer,43,Capricornio,Programador,17000.0,114000.0
1618,Mujer,43,Sagitario,Economista,18000.0,37000.0
1619,Mujer,43,Acuario,Físico,47000.0,63000.0
1620,Mujer,34,Escorpio,Programador,10000.0,65000.0
1621,Mujer,36,Leo,Profesor,34000.0,55000.0
1622,Hombre,47,Tauro,Físico,71000.0,140000.0
1623,Hombre,39,Escorpio,Programador,80000.0,98000.0
1624,Hombre,43,Libra,Ingeniero,42000.0,139000.0
1625,Hombre,44,Virgo,Ingeniero,50000.0,140000.0
1626,Prefiero no decirlo,35,Géminis,Programador,28000.0,100000.0
1627,Hombre,38,Capricornio,Programador,64000.0,129000.0
1628,Hombre,44,Escorpio,Programador,65000.0,136000.0
1629,Hombre,38,Acuario,Ingeniero,91000.0,130000.0
1630,Mujer,35,Géminis,Ingeniero,31000.0,64000.0
1631,Hombre,38,Géminis,Matemático,67000.0,80000.0
1632,Mujer,51,Cáncer,Profesor,40000.0,52000.0
1633,Mujer,43,Escorpio,Programador,18000.0,84000.0
1634,Mujer,41,Capricornio,Profesor,19000.0,49000.0
1635,Hombre,37,Aries,Físico,66000.0,102000.0
1636,Hombre,53,Aries,Ingeniero,65000.0,140000.0
1637,Mujer,41,Escorpio,Ingeniero,32000.0,72000.0
1638,Hombre,35,Acuario,Programador,73000.0,144000.0
1639,Hombre,39,Virgo,Profesor,92000.0,137000.0
1640,Mujer,35,Sagitario,Programador,35000.0,46000.0
1641,Hombre,43,Cáncer,Ingeniero,101000.0,146000.0
1642,Hombre,38,Acuario,Estudiante,61000.0,138000.0
1643,Hombre,39,Tauro,Profesor,59000.0,89000.0
1644,Hombre,43,Cáncer,Contador,90000.0,118000.0
1645,Otro,37,Virgo,Matemático,29000.0,138000.0
1646,Hombre,48,Sagitario,Maestro,106000.0,127000.0
1647,Mujer,41,Leo,Programador,33000.0,29000.0
1648,Hombre,37,Picis,Programador,72000.0,135000.0
1649,Mujer,37,Tauro,Programador,28000.0,127000.0
1650,Mujer,33,Acuario,Economista,18000.0,63000.0
1651,Mujer,41,Capricornio,Físico,35000.0,185000.0
1652,Mujer,38,Géminis,Físico,32000.0,74000.0
1653,Hombre,40,Acuario,Contador,86000.0,132000.0
1654,Hombre,43,Acuario,Ingeniero,69000.0,167000.0
1655,Hombre,38,Libra,Programador,88000.0,112000.0
1656,Otro,36,Escorpio,Físico,30000.0,60000.0
1657,Mujer,39,Capricornio,Economista,29000.0,66000.0
1658,Hombre,43,Leo,Programador,55000.0,106000.0
1659,Hombre,32,Cáncer,Programador,92000.0,130000.0
1660,Hombre,35,Virgo,Programador,67000.0,125000.0
1661,Hombre,38,Virgo,Profesor,103000.0,202000.0
1662,Hombre,45,Capricornio,Estudiante,78000.0,92000.0
1663,Hombre,43,Aries,Profesor,81000.0,136000.0
1664,Hombre,36,Leo,Estudiante,84000.0,163000.0
1665,Hombre,39,Leo,Programador,80000.0,197000.0
1666,Hombre,33,Cáncer,Programador,80000.0,98000.0
1667,Hombre,42,Capricornio,Físico,88000.0,113000.0
1668,Mujer,33,Géminis,Ingeniero,38000.0,95000.0
1669,Mujer,37,Géminis,Programador,23000.0,53000.0
1670,Hombre,45,Géminis,Profesor,66000.0,145000.0
1671,Hombre,42,Escorpio,Programador,73000.0,108000.0
1672,Mujer,41,Tauro,Profesor,28000.0,58000.0
1673,Hombre,42,Escorpio,Estudiante,70000.0,190000.0
1674,Hombre,50,Escorpio,Matemático,104000.0,122000.0
1675,Hombre,48,Virgo,Ingeniero,71000.0,201000.0
1676,Hombre,49,Virgo,Profesor,71000.0,161000.0
1677,Mujer,42,Libra,Programador,23000.0,38000.0
1678,Mujer,48,Aries,Programador,32000.0,53000.0
1679,Hombre,34,Aries,Maestro,58000.0,181000.0
1680,Hombre,34,Virgo,Programador,100000.0,106000.0
1681,Hombre,33,Virgo,Profesor,67000.0,152000.0
1682,Hombre,45,Géminis,Programador,62000.0,233000.0
1683,Mujer,38,Géminis,Profesor,33000.0,95000.0
1684,Mujer,39,Cáncer,Programador,32000.0,82000.0
1685,Mujer,31,Escorpio,Ingeniero,37000.0,74000.0
1686,Mujer,39,Capricornio,Programador,27000.0,98000.0
1687,Hombre,31,Acuario,Físico,52000.0,159000.0
1688,Hombre,31,Aries,Programador,66000.0,133000.0
1689,Hombre,33,Picis,Economista,57000.0,114000.0
1690,Prefiero no decirlo,38,Capricornio,Programador,37000.0,82000.0
1691,Mujer,46,Cáncer,Programador,28000.0,123000.0
1692,Hombre,36,Picis,Profesor,75000.0,192000.0
1693,Mujer,37,Picis,Programador,30000.0,53000.0
1694,Mujer,32,Géminis,Matemático,48000.0,62000.0
1695,Hombre,43,Cáncer,Maestro,66000.0,146000.0
1696,Mujer,34,Géminis,Programador,31000.0,73000.0
1697,Hombre,42,Escorpio,Programador,77000.0,117000.0
1698,Hombre,38,Tauro,Profesor,77000.0,153000.0
1699,Hombre,46,Capricornio,Físico,67000.0,201000.0
1700,Hombre,44,Escorpio,Físico,97000.0,133000.0
1701,Hombre,48,Aries,Estudiante,54000.0,142000.0
1702,Hombre,35,Escorpio,Ingeniero,73000.0,112000.0
1703,Mujer,43,Tauro,Programador,18000.0,77000.0
1704,Mujer,40,Acuario,Ingeniero,37000.0,81000.0
1705,Hombre,42,Escorpio,Economista,67000.0,167000.0
1706,Hombre,46,Tauro,Programador,76000.0,115000.0
1707,Mujer,38,Géminis,Estudiante,22000.0,107000.0
1708,Mujer,48,Escorpio,Programador,37000.0,86000.0
1709,Hombre,35,Escorpio,Programador,67000.0,121000.0
1710,Mujer,48,Leo,Ingeniero,25000.0,119000.0
1711,Hombre,41,Acuario,Programador,75000.0,234000.0
1712,Mujer,39,Libra,Profesor,31000.0,55000.0
1713,Hombre,43,Libra,Programador,50000.0,103000.0
1714,Mujer,52,Acuario,Ingeniero,40000.0,91000.0
1715,Mujer,35,Sagitario,Matemático,35000.0,159000.0
1716,Mujer,39,Capricornio,Programador,19000.0,141000.0
1717,Hombre,29,Acuario,Ingeniero,75000.0,118000.0
1718,Mujer,30,Virgo,Ingeniero,17000.0,128000.0
1719,Hombre,42,Sagitario,Profesor,58000.0,149000.0
1720,Hombre,36,Sagitario,Profesor,77000.0,147000.0
1721,Hombre,34,Virgo,Ingeniero,80000.0,101000.0
1722,Mujer,36,Libra,Estudiante,32000.0,67000.0
1723,Mujer,38,Capricornio,Programador,26000.0,58000.0
1724,Hombre,33,Picis,Programador,84000.0,121000.0
1725,Mujer,39,Capricornio,Economista,37000.0,50000.0
1726,Mujer,41,Tauro,Profesor,37000.0,68000.0
1727,Mujer,42,Acuario,Profesor,21000.0,68000.0
1728,Mujer,42,Escorpio,Estudiante,23000.0,76000.0
1729,Hombre,38,Leo,Ingeniero,63000.0,103000.0
1730,Mujer,40,Sagitario,Profesor,49000.0,44000.0
1731,Mujer,36,Cáncer,Ingeniero,30000.0,105000.0
1732,Hombre,36,Virgo,Programador,69000.0,114000.0
1733,Mujer,37,Sagitario,Ingeniero,21000.0,39000.0
1734,Hombre,45,Sagitario,Programador,65000.0,109000.0
1735,Mujer,35,Tauro,Profesor,25000.0,60000.0
1736,Hombre,32,Acuario,Programador,62000.0,136000.0
1737,Hombre,45,Cáncer,Ingeniero,70000.0,218000.0
1738,Hombre,37,Escorpio,Profesor,79000.0,101000.0
1739,Mujer,51,Acuario,Estudiante,22000.0,55000.0
1740,Hombre,36,Géminis,Profesor,72000.0,99000.0
1741,Hombre,38,Cáncer,Ingeniero,104000.0,107000.0
1742,Mujer,31,Géminis,Ingeniero,38000.0,49000.0
1743,Hombre,39,Aries,Profesor,60000.0,115000.0
1744,Hombre,41,Cáncer,Físico,76000.0,93000.0
1745,Hombre,43,Leo,Programador,47000.0,119000.0
1746,Mujer,43,Capricornio,Contador,29000.0,75000.0
1747,Mujer,39,Géminis,Programador,41000.0,73000.0
1748,Mujer,46,Cáncer,Ingeniero,23000.0,46000.0
1749,Mujer,41,Cáncer,Programador,24000.0,58000.0
1750,Hombre,43,Géminis,Contador,69000.0,162000.0
1751,Hombre,40,Tauro,Programador,104000.0,219000.0
1752,Hombre,40,Picis,Programador,74000.0,100000.0
1753,Hombre,39,Picis,Programador,78000.0,129000.0
1754,Mujer,43,Sagitario,Físico,15000.0,67000.0
1755,Mujer,44,Leo,Ingeniero,39000.0,55000.0
1756,Hombre,43,Cáncer,Programador,90000.0,158000.0
1757,Otro,40,Sagitario,Profesor,53000.0,118000.0
1758,Mujer,40,Cáncer,Maestro,31000.0,42000.0
1759,Hombre,38,Cáncer,Programador,81000.0,70000.0
1760,Mujer,42,Acuario,Matemático,36000.0,75000.0
1761,Hombre,32,Leo,Estudiante,85000.0,148000.0
1762,Mujer,32,Picis,Ingeniero,18000.0,60000.0
1763,Hombre,38,Libra,Ingeniero,109000.0,140000.0
1764,Mujer,45,Picis,Programador,28000.0,83000.0
1765,Prefiero no decirlo,44,Aries,Profesor,21000.0,66000.0
1766,Hombre,38,Sagitario,Ingeniero,99000.0,132000.0
